feminist,female,age,educ,income,dem,rep
85,0,27,14,11,0,0
100,1,43,14,11,1,0
70,1,38,14,9,0,1
100,1,27,16,1,1,0
60,1,28,12,6,0,0
70,0,31,15,11,1,0
50,1,32,13,4,0,0
60,0,51,14,13,1,0
50,0,26,12,6,0,0
50,0,52,11,15,0,0
85,1,48,12,13,1,0
50,0,59,11,5,0,0
0,0,20,14,5,0,0
50,0,31,15,5,0,0
100,0,49,11,8,0,0
40,0,18,12,8,0,1
30,0,69,10,10,1,0
50,1,37,14,12,0,0
85,0,63,11,2,1,0
50,1,19,13,8,0,1
50,0,52,11,13,0,0
60,1,53,17,25,1,0
40,0,20,13,2,0,0
50,0,23,12,14,0,0
85,0,60,17,13,0,0
60,1,24,9,10,0,0
50,1,70,12,3,0,1
40,0,59,12,3,0,0
50,0,18,11,1,0,0
30,1,26,12,4,0,0
100,1,29,8,1,0,0
50,1,37,12,15,1,0
60,0,41,12,18,0,1
0,0,45,12,15,0,1
40,1,30,11,3,0,0
85,0,45,9,25,0,0
70,1,64,13,6,0,0
70,0,41,11,14,0,0
40,1,25,10,7,0,0
50,0,31,13,17,0,0
50,0,20,13,13,0,0
50,0,33,11,10,1,0
50,1,30,13,17,1,0
50,1,26,13,2,0,0
40,1,47,14,14,1,0
30,1,24,14,6,0,0
15,0,34,12,15,0,0
100,1,36,9,10,0,1
15,0,37,16,13,0,0
50,1,52,12,8,1,0
100,1,19,13,6,1,0
70,0,80,17,17,0,0
60,1,26,9,7,1,0
50,0,43,12,12,0,0
30,0,23,13,6,0,0
50,0,29,6,12,0,0
70,1,43,14,14,0,0
50,0,38,11,12,0,0
70,1,33,16,21,0,0
60,0,54,12,20,0,0
50,1,35,12,4,0,0
40,0,34,13,25,0,1
50,1,40,14,5,1,0
50,0,18,12,2,1,0
40,0,51,12,22,0,1
85,1,23,12,5,1,0
100,1,28,15,1,0,0
50,0,27,15,14,0,0
100,1,36,9,7,0,0
70,0,50,10,1,0,0
50,0,20,11,1,1,0
70,1,74,10,6,0,0
50,0,43,14,17,1,0
50,1,37,17,20,0,1
100,0,40,14,12,0,0
100,1,22,10,1,0,0
50,0,33,12,18,1,0
85,0,20,12,8,1,0
50,0,21,12,7,0,0
50,1,25,12,6,1,0
50,0,44,12,15,0,1
100,1,21,13,1,0,0
50,0,30,11,11,0,0
70,1,23,11,12,0,0
50,0,51,8,16,0,0
50,0,30,16,15,0,1
30,1,51,10,11,0,0
60,0,43,13,15,0,1
15,1,27,13,17,0,0
40,1,28,14,16,1,0
100,0,29,14,4,0,0
40,0,48,12,15,1,0
60,1,29,12,4,1,0
50,0,24,10,7,1,0
50,1,32,10,3,1,0
70,0,35,13,10,0,0
50,0,54,11,16,0,1
50,1,26,12,10,1,0
70,0,59,12,15,0,0
85,1,20,12,9,0,0
50,1,37,12,17,0,0
60,0,40,12,8,0,0
40,0,61,10,12,1,0
85,1,19,11,2,0,0
50,1,41,15,17,0,0
50,0,25,12,12,1,0
50,0,26,12,14,1,0
70,1,19,12,3,1,0
50,0,21,12,13,0,0
100,1,44,7,11,1,0
50,0,36,12,14,0,0
50,0,62,12,13,0,1
70,1,22,12,14,1,0
30,1,67,12,10,0,0
50,1,21,12,1,1,0
40,0,54,11,5,1,0
50,1,31,12,11,0,0
50,0,43,12,18,0,0
85,1,65,11,14,1,0
85,1,64,6,1,0,0
50,0,34,12,18,1,0
30,0,25,14,12,0,1
100,1,28,11,12,0,0
60,0,51,12,12,0,0
50,0,29,17,15,0,0
40,1,28,15,15,0,0
50,1,45,17,15,0,1
50,1,21,12,7,0,0
50,0,18,12,3,0,0
70,0,72,12,2,1,0
50,1,57,12,9,0,0
40,1,57,11,5,1,0
50,1,37,14,9,0,0
50,0,19,14,1,0,0
50,0,62,8,1,0,1
45,0,28,12,1,0,0
40,0,38,10,11,0,0
50,0,42,16,14,0,0
50,0,38,17,6,0,1
