tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
NA,78.0,4.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Scorpio,0.0,1.0,0.0
2.0,28.0,0.0,14.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,Capricorn,1.0,0.0,0.0
NA,63.0,3.0,12.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Libra,0.0,1.0,0.0
1.0,29.0,0.0,2.0,0.0,NA,5.0,1.0,2.0,0.0,0.0,Capricorn,0.0,0.0,1.0
1.0,23.0,0.0,9.0,1.0,NA,NA,0.0,1.0,0.0,NA,Sagittarius,0.0,0.0,1.0
NA,40.0,1.0,11.0,0.0,NA,NA,0.0,NA,0.0,NA,Taurus,1.0,0.0,0.0
NA,25.0,0.0,17.0,0.0,1.0,4.0,0.0,NA,1.0,0.0,Sagittarius,0.0,1.0,0.0
0.0,40.0,2.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,Leo,1.0,0.0,0.0
NA,67.0,1.0,12.0,1.0,1.0,NA,0.0,NA,0.0,0.0,Libra,0.0,0.0,1.0
5.0,58.0,2.0,12.0,1.0,NA,NA,1.0,1.0,1.0,NA,Cancer,1.0,0.0,0.0
NA,23.0,0.0,15.0,0.0,NA,NA,0.0,NA,1.0,NA,Capricorn,1.0,0.0,0.0
2.0,25.0,0.0,17.0,1.0,NA,4.0,0.0,2.0,0.0,0.0,Aquarius,0.0,0.0,1.0
NA,50.0,1.0,13.0,0.0,NA,NA,1.0,NA,1.0,NA,Aquarius,1.0,0.0,0.0
NA,26.0,5.0,10.0,1.0,NA,NA,1.0,NA,1.0,NA,Cancer,0.0,0.0,1.0
NA,39.0,2.0,12.0,0.0,NA,NA,0.0,NA,0.0,NA,Taurus,0.0,0.0,1.0
NA,53.0,4.0,14.0,1.0,NA,NA,0.0,NA,1.0,NA,Virgo,1.0,0.0,0.0
NA,22.0,0.0,14.0,0.0,0.0,3.0,0.0,NA,1.0,1.0,Aquarius,NA,NA,NA
12.0,79.0,2.0,11.0,0.0,NA,NA,0.0,0.0,1.0,NA,Virgo,1.0,0.0,0.0
5.0,77.0,2.0,12.0,1.0,0.0,NA,0.0,0.0,1.0,0.0,Capricorn,1.0,0.0,0.0
NA,23.0,0.0,13.0,1.0,NA,NA,0.0,NA,0.0,NA,Leo,0.0,0.0,1.0
5.0,68.0,3.0,16.0,0.0,NA,3.0,0.0,2.0,1.0,NA,Sagittarius,1.0,0.0,0.0
2.0,32.0,2.0,14.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,Capricorn,1.0,0.0,0.0
6.0,83.0,6.0,12.0,0.0,1.0,NA,0.0,2.0,1.0,0.0,Libra,1.0,0.0,0.0
1.0,47.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Aries,0.0,0.0,1.0
NA,22.0,0.0,14.0,0.0,NA,NA,1.0,NA,1.0,NA,Sagittarius,1.0,0.0,0.0
NA,35.0,0.0,18.0,0.0,1.0,4.0,1.0,NA,1.0,0.0,Cancer,1.0,0.0,0.0
3.0,43.0,2.0,12.0,0.0,NA,6.0,0.0,2.0,0.0,NA,Pisces,0.0,1.0,0.0
NA,22.0,0.0,14.0,0.0,0.0,NA,0.0,NA,1.0,0.0,Scorpio,0.0,1.0,0.0
1.0,41.0,2.0,12.0,0.0,NA,NA,0.0,2.0,1.0,NA,Pisces,0.0,1.0,0.0
NA,74.0,3.0,10.0,1.0,1.0,NA,0.0,NA,0.0,0.0,Leo,0.0,0.0,1.0
4.0,44.0,1.0,13.0,0.0,NA,4.0,0.0,0.0,1.0,NA,Virgo,1.0,0.0,0.0
NA,27.0,0.0,14.0,0.0,NA,NA,NA,NA,0.0,NA,Sagittarius,1.0,0.0,0.0
3.0,51.0,2.0,15.0,0.0,1.0,NA,0.0,2.0,1.0,0.0,Cancer,0.0,1.0,0.0
1.0,72.0,1.0,11.0,0.0,1.0,NA,0.0,1.0,0.0,0.0,Scorpio,1.0,0.0,0.0
0.0,47.0,3.0,8.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,Scorpio,0.0,0.0,1.0
NA,29.0,0.0,20.0,0.0,NA,NA,0.0,NA,1.0,NA,Virgo,0.0,1.0,0.0
1.0,51.0,0.0,18.0,1.0,NA,4.0,1.0,1.0,1.0,NA,Pisces,1.0,0.0,0.0
2.0,35.0,1.0,12.0,0.0,0.0,NA,0.0,2.0,1.0,1.0,Leo,0.0,1.0,0.0
NA,61.0,3.0,16.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Leo,0.0,1.0,0.0
NA,31.0,0.0,2.0,0.0,NA,NA,0.0,NA,1.0,NA,Leo,1.0,0.0,0.0
NA,42.0,0.0,18.0,0.0,0.0,2.0,0.0,NA,1.0,0.0,Leo,0.0,1.0,0.0
NA,27.0,1.0,16.0,1.0,1.0,1.0,1.0,NA,0.0,0.0,Capricorn,0.0,0.0,1.0
4.0,40.0,5.0,12.0,0.0,NA,8.0,NA,2.0,0.0,NA,Leo,0.0,1.0,0.0
5.0,43.0,0.0,13.0,1.0,1.0,12.0,1.0,1.0,1.0,0.0,Leo,0.0,0.0,1.0
10.0,59.0,4.0,5.0,1.0,1.0,NA,1.0,1.0,0.0,0.0,Virgo,0.0,1.0,0.0
NA,55.0,0.0,13.0,1.0,NA,NA,0.0,NA,0.0,NA,Capricorn,0.0,0.0,1.0
3.0,54.0,0.0,16.0,1.0,NA,3.0,0.0,1.0,0.0,NA,Cancer,1.0,0.0,0.0
0.0,25.0,0.0,16.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,Aries,1.0,0.0,0.0
NA,48.0,0.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Scorpio,0.0,1.0,0.0
3.0,38.0,0.0,18.0,0.0,NA,3.0,0.0,2.0,1.0,NA,Sagittarius,0.0,1.0,0.0
NA,56.0,3.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,NaN,0.0,1.0,0.0
NA,45.0,4.0,12.0,0.0,NA,NA,NA,NA,1.0,NA,Aquarius,1.0,0.0,0.0
NA,30.0,0.0,14.0,0.0,NA,NA,NA,NA,0.0,NA,Virgo,0.0,0.0,1.0
NA,47.0,3.0,14.0,1.0,1.0,4.0,1.0,NA,1.0,0.0,Aries,1.0,0.0,0.0
3.0,42.0,1.0,16.0,1.0,NA,1.0,1.0,0.0,1.0,NA,Gemini,1.0,0.0,0.0
4.0,43.0,0.0,20.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,Libra,1.0,0.0,0.0
NA,54.0,0.0,13.0,1.0,1.0,NA,0.0,NA,1.0,1.0,Taurus,0.0,0.0,1.0
5.0,35.0,1.0,16.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,Taurus,1.0,0.0,0.0
NA,49.0,6.0,19.0,0.0,1.0,NA,0.0,NA,1.0,0.0,NaN,0.0,1.0,0.0
NA,57.0,7.0,9.0,1.0,NA,NA,0.0,NA,0.0,NA,Aries,1.0,0.0,0.0
NA,30.0,0.0,14.0,1.0,NA,NA,0.0,NA,1.0,NA,Aries,0.0,0.0,1.0
6.0,25.0,0.0,17.0,1.0,NA,NA,NA,2.0,1.0,NA,Aquarius,1.0,0.0,0.0
NA,62.0,1.0,10.0,0.0,NA,NA,0.0,NA,1.0,NA,Aries,0.0,0.0,1.0
NA,63.0,2.0,16.0,1.0,NA,NA,0.0,NA,1.0,0.0,Aquarius,1.0,0.0,0.0
1.0,23.0,3.0,12.0,1.0,NA,3.0,0.0,2.0,0.0,NA,Aries,0.0,0.0,1.0
2.0,80.0,5.0,12.0,1.0,NA,NA,0.0,0.0,1.0,NA,Leo,0.0,1.0,0.0
NA,43.0,0.0,13.0,0.0,1.0,2.0,0.0,NA,1.0,0.0,Capricorn,0.0,1.0,0.0
2.0,40.0,3.0,12.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,Leo,1.0,0.0,0.0
NA,50.0,3.0,9.0,1.0,0.0,NA,0.0,NA,1.0,0.0,Taurus,0.0,0.0,1.0
NA,47.0,2.0,14.0,1.0,NA,NA,1.0,NA,0.0,NA,NaN,1.0,0.0,0.0
4.0,76.0,4.0,12.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Virgo,0.0,1.0,0.0
1.0,19.0,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,Cancer,0.0,0.0,1.0
