guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
1,0,1,1,0,33,14,0,0,0,22500
1,0,1,1,0,22,14,1,0,0,22500
1,0,1,1,0,64,14,0,0,0,22500
1,0,1,1,0,58,14,1,0,0,22500
0,0,1,1,0,25,14,1,1,0,22500
0,0,1,1,0,22,14,0,0,1,22500
0,0,1,1,0,31,14,1,0,0,22500
1,0,1,1,0,36,14,0,0,0,22500
0,0,1,1,0,24,14,1,0,0,22500
1,0,1,1,0,26,14,0,0,0,22500
1,0,1,1,0,75,14,1,0,0,22500
0,0,1,1,0,22,14,0,0,0,22500
1,0,1,1,0,63,14,0,0,0,22500
0,0,1,1,0,24,14,1,0,0,22500
1,0,1,1,0,90,14,1,0,0,22500
0,0,1,1,0,27,14,1,0,0,22500
0,0,1,1,0,66,14,1,0,0,22500
1,0,1,1,0,49,14,0,0,0,22500
1,0,1,1,0,43,14,1,0,0,22500
1,0,1,1,0,21,14,0,0,0,22500
0,0,1,1,0,30,14,0,1,0,22500
1,0,1,1,0,43,14,1,0,0,22500
1,0,1,1,0,79,14,0,0,0,22500
1,0,1,1,0,31,14,0,0,0,22500
1,0,1,1,0,71,14,1,0,0,22500
1,0,1,1,0,33,14,1,0,0,22500
1,0,1,1,0,30,14,0,0,0,22500
1,0,1,1,0,33,14,1,0,1,22500
1,0,1,1,0,42,14,1,0,0,22500
1,0,1,1,0,35,14,1,0,0,22500
0,0,1,1,0,25,14,1,1,0,22500
NA,0,1,1,0,29,14,0,0,0,22500
1,0,1,1,0,56,14,0,0,0,22500
0,0,1,1,0,56,14,0,1,0,22500
1,0,1,1,0,20,14,1,0,0,22500
1,0,1,1,0,29,14,0,0,0,22500
1,0,1,1,0,26,14,1,0,0,22500
1,0,1,1,0,32,14,1,0,0,22500
1,0,1,1,0,24,14,1,0,0,22500
1,0,1,1,0,48,14,1,0,0,22500
1,1,0,1,0,73,14,0,0,0,22500
0,1,0,1,0,57,14,0,0,0,22500
1,1,0,1,0,84,14,1,0,0,22500
NA,1,0,1,0,30,14,1,1,0,22500
NA,1,0,1,0,71,14,1,0,0,22500
0,1,0,1,0,36,14,1,1,0,22500
1,1,0,1,0,53,14,1,1,0,22500
1,1,0,1,0,37,14,1,0,0,22500
1,1,0,1,0,73,14,1,0,0,22500
0,1,0,1,0,28,14,0,1,0,22500
1,0,0,0,0,54,14,0,0,0,22500
1,1,0,1,0,32,14,1,0,0,22500
1,0,0,0,0,80,14,0,0,0,22500
1,1,0,1,0,64,14,1,0,0,22500
NA,1,0,1,0,71,14,1,1,0,22500
0,1,0,1,0,22,14,1,1,0,22500
0,1,0,1,0,40,14,1,1,0,22500
1,1,0,1,0,31,14,1,0,0,22500
1,1,0,1,0,77,14,0,0,0,22500
0,1,0,1,0,26,14,0,1,0,22500
0,1,0,1,0,33,14,1,1,0,22500
0,1,0,1,0,34,14,1,0,0,22500
0,1,0,1,0,45,14,0,1,0,22500
0,1,0,1,0,22,14,1,0,0,22500
0,1,0,1,0,53,14,1,0,0,22500
NA,1,0,1,0,70,14,0,0,0,22500
0,1,0,1,0,37,14,0,1,0,22500
1,1,0,1,0,49,14,1,0,0,22500
0,1,0,1,0,37,14,1,0,0,22500
